family_key,NGSL_words,NAWL_words
accur,accurate,accurately
activ,active; activity,activate; actively
adapt,adapt,adaptation; adaptive
agricultur,agricultural,agriculture
approxim,approximately,approximate; approximation
artist,artist,artistic
assign,assign,assignment
athlet,athlete,athletic
author,author,authority
avail,available,availability
behavior,behavior,behavioral
biolog,biological,biology
broad,broad,broadly
calcul,calculate,calculation; calculator
capit,capital,capitalism
character,characterize,characterization
civil,civil,civilization
clinic,clinical,clinic
collect,collect; collection,collective
common,common,commonly
communic,communicate; communication,communicative
compar,compare,comparable; comparative
compens,compensation,compensate
compet,compete,competence; competent
complic,complicate,complication
compos,compose,composer
composit,composition,composite
comprehens,comprehensive,comprehension
comput,compute; computer,computation
concept,concept,conception
condit,condition,conditional
conduct,conduct,conduction
conserv,conservative,conservation; conserve
constitut,constitute,constitution
consult,consult; consultant,consultation
contain,contain,container
continu,continue; continuous,continuity
controversi,controversial,controversy
correct,correct,correction; correctly
correspond,correspond,correspondence
critic,critic; critical; criticism; criticize,critically
definit,definitely; definition,definite
demonstr,demonstrate; demonstration,demonstrator
depend,depend; dependent,dependence
deriv,derive,derivative
detect,detect,detection
develop,develop; development,developmental
direct,direct; direction; directly,directive
distribut,distribute,distribution
disturb,disturb,disturbance
divers,diversity,diverse
domin,dominate,dominance; dominant; domination
econom,economic,economically
effect,effect; effective; effectively,effectiveness
electron,electronic,electron
elimin,eliminate,elimination
emerg,emerge; emergency,emergence
empir,empire,empirical
enorm,enormous,enormously
equal,equal; equally,equality
equival,equivalent,equivalence
essenti,essential,essentially
estim,estimate,estimation
evid,evidence,evident
execut,executive,execute; execution
factori,factory,factorial
flexibl,flexible,flexibility
formal,formal,formally
fundament,fundamental,fundamentally
general,general; generally,generalization; generalize
genet,genetic,genetically; genetics
global,global,globalization
good,good,goodness; goods
histor,historic; historical,historically
ident,identity,identical
import,import; importance; important,importantly
incid,incident,incidence
independ,independence; independent,independently
indic,indicate; indication,indicator
individu,individual,individually
industri,industrial; industry,industrialization; industrialize
infect,infection,infect
inform,inform; information,informal
initi,initial; initially; initiative,initiate; initiation
integr,integrate,integral; integration
intens,intense,intensity; intensive
interact,interaction,interact
interest,interest,interestingly
interview,interview,interviewer
lectur,lecture,lecturer
liter,literally,liter
local,local,locally
logic,logic,logical
margin,margin,marginal
mathemat,mathematics,mathematical
mechan,mechanism,mechanic; mechanical
mobil,mobile,mobility
moral,moral,morality
motiv,motivate; motivation,motive
name,name,namely
nation,nation; national,nationalism
nice,nice,nicely
numer,numerous,numerical
object,object; objective,objection
observ,observation; observe,observer
organ,organic; organization; organize,organ; organism
pain,pain,painful
parent,parent,parental
period,period,periodic
photograph,photograph,photographic
physic,physical,physically; physics
polit,political; politics,politically
posit,position; positive,positively
predict,predict,prediction
presum,presumably,presume
product,product; production,productive; productivity
progress,progress,progression; progressive
project,project,projection
psycholog,psychological,psychology
publish,publisher,publish
pure,pure,purely
random,random,randomize; randomly
reject,reject,rejection
reliabl,reliable,reliability
replac,replace,replacement
resist,resist; resistance,resistant
secret,secret,secrete
select,select; selection,selective
sensit,sensitive,sensitivity
separ,separate,separately; separation
sexual,sexual,sexuality
short,short,shortly
similar,similar; similarly,similarity
social,social,socialize; socially
solut,solution,solute
sometim,sometimes,sometime
specif,specific; specifically,specification
stabil,stability,stabilize
standard,standard,standardize
statist,statistic,statistical; statistically; statistics
strict,strict,strictly
subject,subject,subjective
substitut,substitute,substitution
suffici,sufficient,sufficiently
suppos,suppose,supposedly
sustain,sustain,sustainable
symbol,symbol,symbolic
technic,technical,technically
terribl,terrible,terribly
thick,thick,thickness
tradit,tradition; traditional,traditionally
transform,transform,transformation
translat,translate,translation
ultim,ultimately,ultimate
unemploy,unemployment,unemployed
variabl,variable,variability
veget,vegetable,vegetation
