family_key,NGSL_word,NAWL_word
accur,accurate,accurately
activ,active,activate
activ,active,actively
activ,activity,activate
activ,activity,actively
adapt,adapt,adaptation
adapt,adapt,adaptive
agricultur,agricultural,agriculture
approxim,approximately,approximate
approxim,approximately,approximation
artist,artist,artistic
assign,assign,assignment
athlet,athlete,athletic
author,author,authority
avail,available,availability
behavior,behavior,behavioral
biolog,biological,biology
broad,broad,broadly
calcul,calculate,calculation
calcul,calculate,calculator
capit,capital,capitalism
character,characterize,characterization
civil,civil,civilization
clinic,clinical,clinic
collect,collect,collective
collect,collection,collective
common,common,commonly
communic,communicate,communicative
communic,communication,communicative
compar,compare,comparable
compar,compare,comparative
compens,compensation,compensate
compet,compete,competence
compet,compete,competent
complic,complicate,complication
compos,compose,composer
composit,composition,composite
comprehens,comprehensive,comprehension
comput,compute,computation
comput,computer,computation
concept,concept,conception
condit,condition,conditional
conduct,conduct,conduction
conserv,conservative,conservation
conserv,conservative,conserve
constitut,constitute,constitution
consult,consult,consultation
consult,consultant,consultation
contain,contain,container
continu,continue,continuity
continu,continuous,continuity
controversi,controversial,controversy
correct,correct,correction
correct,correct,correctly
correspond,correspond,correspondence
critic,critic,critically
critic,critical,critically
critic,criticism,critically
critic,criticize,critically
definit,definitely,definite
definit,definition,definite
demonstr,demonstrate,demonstrator
demonstr,demonstration,demonstrator
depend,depend,dependence
depend,dependent,dependence
deriv,derive,derivative
detect,detect,detection
develop,develop,developmental
develop,development,developmental
direct,direct,directive
direct,direction,directive
direct,directly,directive
distribut,distribute,distribution
disturb,disturb,disturbance
divers,diversity,diverse
domin,dominate,dominance
domin,dominate,dominant
domin,dominate,domination
econom,economic,economically
effect,effect,effectiveness
effect,effective,effectiveness
effect,effectively,effectiveness
electron,electronic,electron
elimin,eliminate,elimination
emerg,emerge,emergence
emerg,emergency,emergence
empir,empire,empirical
enorm,enormous,enormously
equal,equal,equality
equal,equally,equality
equival,equivalent,equivalence
essenti,essential,essentially
estim,estimate,estimation
evid,evidence,evident
execut,executive,execute
execut,executive,execution
factori,factory,factorial
flexibl,flexible,flexibility
formal,formal,formally
fundament,fundamental,fundamentally
general,general,generalization
general,general,generalize
general,generally,generalization
general,generally,generalize
genet,genetic,genetically
genet,genetic,genetics
global,global,globalization
good,good,goodness
good,good,goods
histor,historic,historically
histor,historical,historically
ident,identity,identical
import,import,importantly
import,importance,importantly
import,important,importantly
incid,incident,incidence
independ,independence,independently
independ,independent,independently
indic,indicate,indicator
indic,indication,indicator
individu,individual,individually
industri,industrial,industrialization
industri,industrial,industrialize
industri,industry,industrialization
industri,industry,industrialize
infect,infection,infect
inform,inform,informal
inform,information,informal
initi,initial,initiate
initi,initial,initiation
initi,initially,initiate
initi,initially,initiation
initi,initiative,initiate
initi,initiative,initiation
integr,integrate,integral
integr,integrate,integration
intens,intense,intensity
intens,intense,intensive
interact,interaction,interact
interest,interest,interestingly
interview,interview,interviewer
lectur,lecture,lecturer
liter,literally,liter
local,local,locally
logic,logic,logical
margin,margin,marginal
mathemat,mathematics,mathematical
mechan,mechanism,mechanic
mechan,mechanism,mechanical
mobil,mobile,mobility
moral,moral,morality
motiv,motivate,motive
motiv,motivation,motive
name,name,namely
nation,nation,nationalism
nation,national,nationalism
nice,nice,nicely
numer,numerous,numerical
object,object,objection
object,objective,objection
observ,observation,observer
observ,observe,observer
organ,organic,organ
organ,organic,organism
organ,organization,organ
organ,organization,organism
organ,organize,organ
organ,organize,organism
pain,pain,painful
parent,parent,parental
period,period,periodic
photograph,photograph,photographic
physic,physical,physically
physic,physical,physics
polit,political,politically
polit,politics,politically
posit,position,positively
posit,positive,positively
predict,predict,prediction
presum,presumably,presume
product,product,productive
product,product,productivity
product,production,productive
product,production,productivity
progress,progress,progression
progress,progress,progressive
project,project,projection
psycholog,psychological,psychology
publish,publisher,publish
pure,pure,purely
random,random,randomize
random,random,randomly
reject,reject,rejection
reliabl,reliable,reliability
replac,replace,replacement
resist,resist,resistant
resist,resistance,resistant
secret,secret,secrete
select,select,selective
select,selection,selective
sensit,sensitive,sensitivity
separ,separate,separately
separ,separate,separation
sexual,sexual,sexuality
short,short,shortly
similar,similar,similarity
similar,similarly,similarity
social,social,socialize
social,social,socially
solut,solution,solute
sometim,sometimes,sometime
specif,specific,specification
specif,specifically,specification
stabil,stability,stabilize
standard,standard,standardize
statist,statistic,statistical
statist,statistic,statistically
statist,statistic,statistics
strict,strict,strictly
subject,subject,subjective
substitut,substitute,substitution
suffici,sufficient,sufficiently
suppos,suppose,supposedly
sustain,sustain,sustainable
symbol,symbol,symbolic
technic,technical,technically
terribl,terrible,terribly
thick,thick,thickness
tradit,tradition,traditionally
tradit,traditional,traditionally
transform,transform,transformation
translat,translate,translation
ultim,ultimately,ultimate
unemploy,unemployment,unemployed
variabl,variable,variability
veget,vegetable,vegetation
