NGSL_word,family_id,representative,family_size,related_NGSL_words
a,,a,1,
abandon,,abandon,1,
ability,NGSL-F0026,able,2,able
able,NGSL-F0026,able,2,ability
abortion,,abortion,1,
about,,about,1,
above,,above,1,
abroad,,abroad,1,
absence,,absence,1,
absolute,NGSL-F0027,absolute,2,absolutely
absolutely,NGSL-F0027,absolute,2,absolute
abstract,,abstract,1,
abuse,,abuse,1,
academic,,academic,1,
accept,NGSL-F0028,accept,2,acceptable
acceptable,NGSL-F0028,accept,2,accept
access,,access,1,
accident,,accident,1,
accommodation,,accommodation,1,
accompany,,accompany,1,
accomplish,,accomplish,1,
accord,,accord,1,
account,,account,1,
accurate,,accurate,1,
accuse,,accuse,1,
achieve,NGSL-F0029,achieve,2,achievement
achievement,NGSL-F0029,achieve,2,achieve
acknowledge,,acknowledge,1,
acquire,,acquire,1,
acquisition,,acquisition,1,
across,,across,1,
act,,act,1,
action,,action,1,
active,NGSL-F0030,active,2,activity
activity,NGSL-F0030,active,2,active
actor,,actor,1,
actual,NGSL-F0031,actual,2,actually
actually,NGSL-F0031,actual,2,actual
ad,,ad,1,
adapt,,adapt,1,
add,,add,1,
addition,NGSL-F0032,addition,2,additional
additional,NGSL-F0032,addition,2,addition
address,,address,1,
adequate,,adequate,1,
adjust,NGSL-F0033,adjust,2,adjustment
adjustment,NGSL-F0033,adjust,2,adjust
administration,,administration,1,
admire,,admire,1,
admit,,admit,1,
adopt,,adopt,1,
adult,,adult,1,
advance,,advance,1,
advantage,,advantage,1,
adventure,,adventure,1,
advertise,NGSL-F0034,advertise,2,advertisement
advertisement,NGSL-F0034,advertise,2,advertise
advice,,advice,1,
advise,NGSL-F0035,advise,2,adviser
adviser,NGSL-F0035,advise,2,advise
advocate,,advocate,1,
affair,,affair,1,
affect,,affect,1,
afford,,afford,1,
afraid,,afraid,1,
after,,after,1,
afternoon,,afternoon,1,
again,,again,1,
against,,against,1,
age,,age,1,
agency,,agency,1,
agenda,,agenda,1,
agent,,agent,1,
aggressive,,aggressive,1,
ago,,ago,1,
agree,,agree,1,
agreement,,agreement,1,
agricultural,,agricultural,1,
ahead,,ahead,1,
aid,,aid,1,
aim,,aim,1,
air,,air,1,
aircraft,,aircraft,1,
airline,,airline,1,
alarm,,alarm,1,
album,,album,1,
alcohol,,alcohol,1,
alive,,alive,1,
all,,all,1,
allege,,allege,1,
allow,,allow,1,
ally,,ally,1,
almost,,almost,1,
alone,,alone,1,
along,,along,1,
alongside,,alongside,1,
already,,already,1,
alright,,alright,1,
also,,also,1,
alter,,alter,1,
alternative,,alternative,1,
although,,although,1,
altogether,,altogether,1,
always,,always,1,
amaze,,amaze,1,
amendment,,amendment,1,
among,,among,1,
amount,,amount,1,
analysis,,analysis,1,
analyst,,analyst,1,
analyze,,analyze,1,
ancient,,ancient,1,
and,,and,1,
anger,,anger,1,
angle,,angle,1,
angry,,angry,1,
animal,,animal,1,
announce,NGSL-F0036,announce,2,announcement
announcement,NGSL-F0036,announce,2,announce
annual,,annual,1,
another,,another,1,
answer,,answer,1,
anticipate,,anticipate,1,
anxiety,,anxiety,1,
anxious,,anxious,1,
any,,any,1,
anybody,,anybody,1,
anymore,,anymore,1,
anyone,,anyone,1,
anything,,anything,1,
anyway,,anyway,1,
anywhere,,anywhere,1,
apart,,apart,1,
apartment,,apartment,1,
apologize,,apologize,1,
apparent,NGSL-F0037,apparent,2,apparently
apparently,NGSL-F0037,apparent,2,apparent
appeal,,appeal,1,
appear,NGSL-F0038,appear,2,appearance
appearance,NGSL-F0038,appear,2,appear
application,,application,1,
apply,,apply,1,
appoint,NGSL-F0039,appoint,2,appointment
appointment,NGSL-F0039,appoint,2,appoint
appreciate,,appreciate,1,
approach,,approach,1,
appropriate,,appropriate,1,
approval,NGSL-F0040,approve,2,approve
approve,NGSL-F0040,approve,2,approval
approximately,,approximately,1,
architecture,,architecture,1,
area,,area,1,
argue,,argue,1,
argument,,argument,1,
arise,,arise,1,
arm,,arm,1,
army,,army,1,
around,,around,1,
arrange,NGSL-F0041,arrange,2,arrangement
arrangement,NGSL-F0041,arrange,2,arrange
arrest,,arrest,1,
arrival,NGSL-F0042,arrive,2,arrive
arrive,NGSL-F0042,arrive,2,arrival
art,,art,1,
article,,article,1,
artist,,artist,1,
as,,as,1,
ashamed,,ashamed,1,
aside,,aside,1,
ask,,ask,1,
assess,NGSL-F0043,assess,2,assessment
assessment,NGSL-F0043,assess,2,assess
asset,,asset,1,
assign,,assign,1,
assist,NGSL-F0007,assist,3,assistance; assistant
assistance,NGSL-F0007,assist,3,assist; assistant
assistant,NGSL-F0007,assist,3,assist; assistance
associate,NGSL-F0044,associate,2,association
association,NGSL-F0044,associate,2,associate
assume,,assume,1,
assumption,,assumption,1,
assure,,assure,1,
at,,at,1,
athlete,,athlete,1,
atmosphere,,atmosphere,1,
attach,NGSL-F0045,attach,2,attachment
attachment,NGSL-F0045,attach,2,attach
attack,,attack,1,
attempt,,attempt,1,
attend,NGSL-F0046,attend,2,attendance
attendance,NGSL-F0046,attend,2,attend
attention,,attention,1,
attitude,,attitude,1,
attract,NGSL-F0008,attract,3,attraction; attractive
attraction,NGSL-F0008,attract,3,attract; attractive
attractive,NGSL-F0008,attract,3,attract; attraction
attribute,,attribute,1,
audience,,audience,1,
aunt,,aunt,1,
author,,author,1,
automatically,,automatically,1,
autumn,,autumn,1,
available,,available,1,
average,,average,1,
avoid,,avoid,1,
award,,award,1,
aware,NGSL-F0047,aware,2,awareness
awareness,NGSL-F0047,aware,2,aware
away,,away,1,
awful,,awful,1,
baby,,baby,1,
back,,back,1,
background,,background,1,
bad,,bad,1,
badly,,badly,1,
bag,,bag,1,
balance,,balance,1,
ball,,ball,1,
ban,,ban,1,
band,,band,1,
bank,,bank,1,
bar,,bar,1,
barely,,barely,1,
barrier,,barrier,1,
base,,base,1,
basic,NGSL-F0048,basic,2,basically
basically,NGSL-F0048,basic,2,basic
basis,,basis,1,
bath,,bath,1,
battle,,battle,1,
be,,be,1,
beach,,beach,1,
bear,,bear,1,
beat,,beat,1,
beautiful,NGSL-F0049,beauty,2,beauty
beauty,NGSL-F0049,beauty,2,beautiful
because,,because,1,
become,,become,1,
bed,,bed,1,
bedroom,,bedroom,1,
beer,,beer,1,
before,,before,1,
begin,,begin,1,
behave,,behave,1,
behavior,,behavior,1,
